customer_id,signup_date,gender,age,city,country,traffic_source,device_type,customer_segment,total_orders,lifetime_value,last_order_date
100618,2021-01-29,Male,42,London,UK,"Paid Search",Desktop,VIP,3,1237.58,2022-06-12
100885,2024-01-13,Male,49,London,UK,Direct,Tablet,"At Risk",4,5114.68,2025-01-09
101534,2025-02-21,"Prefer not to say",73,Rome,Italy,Referral,Tablet,New,15,3508.11,2025-10-14
101661,2021-05-06,Non-binary,27,Toronto,Canada,Email,Tablet,New,8,3384.27,2021-06-11
102208,2022-03-03,"Prefer not to say",33,Rome,Italy,"Paid Search",Desktop,VIP,4,1821.18,2022-09-23
103141,2023-07-26,Female,43,"New York",USA,"Paid Search",Mobile,"At Risk",11,5424.94,2023-09-19
103325,2022-05-09,"Prefer not to say",45,Rome,Italy,Referral,Mobile,Loyal,12,3307.36,2022-08-18
103571,2025-11-23,Male,54,Toronto,Canada,Email,Mobile,VIP,23,7403.38,2026-02-07
103690,2022-06-30,"Prefer not to say",30,Madrid,Spain,Direct,Tablet,VIP,20,9852.99,2023-08-19
103808,2024-08-23,Non-binary,27,Rome,Italy,"Social Media",Mobile,"At Risk",6,2071.78,2025-11-14
104063,2024-04-28,Male,63,Berlin,Germany,"Social Media",Desktop,Loyal,12,7738.46,2025-03-11
104203,2025-09-24,,55,Istanbul,Türkiye,"Organic Search",Mobile,Loyal,7,6241.05,2025-10-10
104442,2022-02-05,Male,27,Istanbul,Türkiye,"Social Media",Desktop,Loyal,8,7771.12,2023-04-14
105052,2021-02-05,Female,59,Paris,France,"Social Media",Tablet,Loyal,16,2459.53,2022-04-29
105481,2025-11-26,Non-binary,58,Rome,Italy,"Organic Search",Desktop,Returning,1,858.57,2026-10-31
105582,2021-01-21,"Prefer not to say",55,Paris,France,Email,Desktop,New,1,6732.56,2021-01-21
105774,2024-11-27,Male,39,Toronto,Canada,Email,Desktop,Loyal,3,606.72,2025-03-05
105986,2022-04-17,"Prefer not to say",65,Rome,Italy,"Organic Search",Mobile,Loyal,10,5740.27,2022-05-24
106712,2022-09-16,"Prefer not to say",26,Paris,France,"Paid Search",Desktop,VIP,13,6334.2,2023-07-28
107840,2023-05-18,,60,London,UK,"Organic Search",Mobile,Returning,5,5666.21,2024-09-28
108349,2023-09-11,"Prefer not to say",51,Toronto,Canada,Email,Tablet,VIP,23,5343.51,2024-02-28
108582,2022-07-14,Male,55,London,UK,"Organic Search",Tablet,"At Risk",8,3446.32,2023-09-07
108588,2023-12-21,Male,32,Madrid,Spain,"Social Media",Mobile,Returning,10,3237.18,2024-03-08
108682,2021-10-14,"Prefer not to say",49,Istanbul,Türkiye,"Paid Search",Mobile,Loyal,4,8632.3,2022-02-04
108892,2021-05-21,Non-binary,81,Toronto,Canada,Direct,Mobile,"At Risk",2,4934.53,2022-07-04
108977,2024-07-17,Female,20,"New York",USA,Direct,Mobile,VIP,18,5699.52,2025-03-16
109029,2024-01-09,Male,37,"New York",USA,"Social Media",Tablet,Returning,24,2632.9,2025-01-23
109226,2022-06-29,"Prefer not to say",82,Rome,Italy,Direct,Mobile,New,0,0,NULL
109397,2023-09-11,Female,44,Rome,Italy,"Paid Search",Desktop,VIP,7,951.07,2024-07-14
109623,2021-10-14,Non-binary,73,"New York",USA,"Paid Search",Mobile,New,6,2529.94,2022-02-17
109652,2022-12-07,Non-binary,70,Paris,France,"Paid Search",Tablet,Loyal,22,3858.09,2023-06-09
109806,2023-05-13,Male,33,Istanbul,Türkiye,"Organic Search",Mobile,"At Risk",16,4676.33,2023-05-18
110072,2021-11-03,"Prefer not to say",67,"New York",USA,Referral,Tablet,"At Risk",3,9420.1,2022-02-11
110169,2021-12-23,Male,41,Rome,Italy,"Paid Search",Mobile,Loyal,25,6209.88,2023-02-05
110398,2023-03-17,Female,84,"New York",USA,Referral,Desktop,Loyal,5,9241.26,2023-12-28
110620,2023-06-03,"Prefer not to say",59,"New York",USA,"Social Media",Mobile,Returning,13,3518.8,2024-05-20
111016,2025-09-20,Female,38,Madrid,Spain,Referral,Desktop,"At Risk",11,9668.88,2026-09-14
111394,2025-09-29,Male,42,Toronto,Canada,Direct,Tablet,"At Risk",8,789.53,2027-01-24
111841,2022-09-18,Female,51,Istanbul,Türkiye,Direct,Desktop,"At Risk",16,1818.1,2022-09-29
112522,2023-10-12,Non-binary,33,Paris,France,"Organic Search",Desktop,Loyal,16,5797.1,2024-08-08
112759,2024-06-17,Male,59,Rome,Italy,"Organic Search",Mobile,Returning,5,5587.29,2024-08-10
112899,2024-12-06,"Prefer not to say",39,Toronto,Canada,"Social Media",Desktop,VIP,23,6799.9,2025-10-15
112983,2024-04-07,Male,73,Paris,France,"Social Media",Desktop,VIP,19,6181.9,2024-12-02
113857,2023-02-16,Male,66,Toronto,Canada,"Paid Search",Mobile,New,7,1236.81,2023-10-05
114122,2021-08-28,Female,60,Paris,France,"Organic Search",Desktop,Returning,14,1318.75,2021-09-22
114627,2022-11-13,,87,Paris,France,Direct,Mobile,Loyal,24,583.13,2024-01-04
115079,2021-07-22,,42,Berlin,Germany,"Social Media",Mobile,New,15,5403.79,2022-04-26
