customer_id,signup_date,gender,age,city,country,traffic_source,device_type,customer_segment,total_orders,lifetime_value,last_order_date
240891,2023-02-23,FEMALE,67,Istanbul,,Paid Search,mobile,VIP,5,6057.17,2024-05-10
696853,2021-08-22,Male,73,Madrid,,Direct,Tablet,Loyal,14,3656.39,2021-12-22
988598,2022-10-09,Prefer not to say,83,London,,Paid Search,Tablet,Returning,9,5676.82,2023-04-29
941235,2025-11-21,FEMALE,37,Berlin,,Referral,Desktop,Returning,5,815.29,2026-08-28
900875,2024-06-07,Female,63,Rome,,Direct,mobile,VIP,2,4295.02,2024-10-14
166172,2024-02-01,Prefer not to say,31,Berlin,,Organic Search,Desktop,Loyal,17,369.03,2024-07-30
367459,2021-04-06,Female,63,Rome,,Social Media,Tablet,VIP,20,1221.74,2022-04-12
223646,2023-02-08,Non-binary,44,London,,Direct,Tablet,At Risk,12,2458.53,2023-02-24
619501,2025-05-01,Female,55,London,,Organic Search,Desktop,Returning,11,5071.46,2025-05-26
897926,2022-06-30,Female,47,Istanbul,,Social Media, Desktop,At Risk,17,6010.67,2022-09-10
571325,2025-11-04,,73,Toronto,,Paid Search, Desktop,VIP,6,4342.35,2026-08-08
595185,2021-06-01,Female,47,Berlin,,Paid Search,Mobile,Returning,15,3641.56,2021-10-20
783244,2021-04-11,Non-binary,28,Paris,,Organic Search,mobile,Returning,19,3437.4,2022-05-17
498055,2024-03-23,,20,Paris,,Email, Desktop,New,1,8535.63,2025-03-11
927036,2023-10-21,Non-binary,35,Toronto,,Social Media,Tablet,At Risk,21,9968.11,2024-08-02
320153,2024-05-24,,29,Toronto,,Email,Mobile,VIP,2,9912.49,2024-11-02
198418,2024-08-15,Non-binary,20,Berlin,,Paid Search,Tablet,VIP,8,8696.35,2025-10-28
611554,2023-09-26,Male,55,Berlin,,Organic Search,Mobile,Loyal,13,9273.59,2024-04-25
129724,2022-03-22,Non-binary,81,Madrid,,Referral,Desktop,VIP,4,3530.13,2022-08-11
976363,2023-03-25,male,42,New York,,Paid Search,mobile,Returning,1,7309.69,2023-09-23
508744,2022-05-23,FEMALE,27,London,,Social Media,mobile,VIP,16,7955.05,2022-07-02
553789,2024-02-28,Prefer not to say,68,London,,Social Media, Desktop,Loyal,5,5941.96,2025-02-24
736944,2023-02-04,,65,Rome,,Paid Search, Desktop,VIP,2,4429.78,2023-03-02
899308,2025-11-21,Female,38,Berlin,,Organic Search,Tablet,At Risk,10,9699.17,2026-05-22
904423,2021-12-22,Prefer not to say,79,London,,Social Media,Mobile,Loyal,20,1651.94,2022-10-09
102208,2022-03-03,Prefer not to say,33,Rome,,Paid Search,Desktop,VIP,4,1821.18,2022-09-23
829633,2025-02-27,male,57,Paris,,Email,mobile,At Risk,17,3124.73,2026-01-09
567022,2023-12-01,male,57,Paris,,Referral,Desktop,New,10,1208.24,2024-10-11
379267,2023-02-18,FEMALE,83,Berlin,,Email, Desktop,Loyal,11,8356.33,2024-02-18
856589,2021-04-21,FEMALE,31,Istanbul,,Paid Search,mobile,Loyal,5,4760.82,2021-06-03
940775,2023-12-05,male,22,Paris,,Email,mobile,VIP,11,7763.21,2025-02-13
339874,2021-12-22,male,52,Berlin,,Social Media,Mobile,New,17,2313.51,2023-02-26
719869,2025-10-07,Prefer not to say,60,Istanbul,,Organic Search,mobile,VIP,13,4663.83,2026-03-19
207192,2023-11-06,Female,69,New York,,Social Media,Desktop,VIP,4,3512.49,2023-12-25
432849,2021-10-09,Female,46,Paris,,Referral,Desktop,New,22,1047.46,2022-08-17
132075,2021-04-18,Female,65,Rome,,Email,Mobile,Loyal,15,7173.05,2021-12-06
123406,2022-09-10,FEMALE,56,New York,,Direct,Desktop,New,15,1813.58,2023-09-24
126681,2021-11-11,Male,86,Istanbul,,Direct,mobile,At Risk,20,3423.51,2022-07-03
781098,2024-04-05,male,77,Rome,,Referral,mobile,At Risk,6,1677.51,2024-09-15
667712,2024-01-04,,49,London,,Social Media,Mobile,VIP,13,9427.5,2024-04-15
109652,2022-12-07,Non-binary,70,Paris,France,Paid Search,Tablet,Loyal,22,3858.09,2023-06-09
499721,2025-05-04,Male,67,Rome,Italy,Paid Search,Mobile,At Risk,10,3859.22,2025-08-01
819830,2024-12-26,Non-binary,30,New York,USA,Direct,Mobile,Loyal,4,1131.78,2026-03-17
327120,2025-06-08,,40,Rome,Italy,Email,mobile,VIP,17,8715.56,2026-06-18
542621,2024-12-06,Non-binary,44,Paris,France,Paid Search, Desktop,Returning,4,1215.97,2025-08-30
861111,2024-04-12,Female,73,Berlin,Germany,Social Media,Tablet,At Risk,4,226.89,2025-01-04
130451,2025-05-15,Female,48,Toronto,Canada,Organic Search,Mobile,Returning,17,4699.47,2025-08-12
653259,2021-10-20,Non-binary,35,Madrid,Spain,Organic Search,mobile,Loyal,0,5299.79,2022-02-04
332460,2022-02-08,Female,44,London,UK,Organic Search,Tablet,At Risk,6,737.33,2023-02-11
900798,2021-08-05,,32,New York,USA,Organic Search,mobile,At Risk,16,7105.77,2022-09-25
559158,2023-09-16,Non-binary,36,New York,USA,Referral,Tablet,Loyal,13,4373.26,2024-08-22
619896,2024-01-30,Female,43,Istanbul,Türkiye,Paid Search,Desktop,New,7,6701.23,2025-05-16
679715,2023-07-25,male,74,Istanbul,Türkiye,Paid Search, Desktop,New,1,4313.25,2024-08-29
344406,2025-05-29,Prefer not to say,34,Paris,France,Email,Tablet,At Risk,23,492.07,2025-10-18
462493,2023-07-20,FEMALE,84,Rome,Italy,Direct,Mobile,Returning,20,6402.6,2023-09-24
342081,2023-06-14,Female,20,Rome,Italy,Paid Search,Tablet,New,15,6386.04,2024-10-12
809727,2023-09-17,,73,Istanbul,Türkiye,Social Media, Desktop,At Risk,3,1304.55,2023-10-21
329408,2025-10-03,FEMALE,68,New York,USA,Social Media,mobile,Loyal,23,3185.92,2026-09-13
897911,2021-08-28,Female,65,Istanbul,Türkiye,Direct,Mobile,Returning,3,6902.68,2021-10-01
581929,2024-04-25,Male,83,New York,USA,Organic Search,Tablet,Loyal,19,637.03,2024-06-08
403858,2023-05-29,Non-binary,68,London,UK,Direct, Desktop,Loyal,14,2204.52,2024-03-10
122533,2025-11-16,,79,Toronto,Canada,Direct, Desktop,Returning,23,7067.34,2026-04-29
536396,2023-07-22,male,41,Rome,Italy,Referral,mobile,At Risk,19,3996.4,2023-12-20
978264,2025-03-21,Female,57,London,UK,Paid Search,mobile,New,11,2606.55,2026-02-06
683484,2025-09-14,,87,Madrid,Spain,Organic Search, Desktop,Returning,14,8512.09,2026-02-19
773494,2023-07-02,FEMALE,59,Rome,Italy,Referral,Mobile,At Risk,6,7700.87,2024-02-27
204857,2024-06-28,Male,77,Madrid,Spain,Referral,Tablet,At Risk,22,236.12,2025-08-16
294936,2023-04-03,Male,59,Toronto,Canada,Social Media,mobile,At Risk,10,5898.46,2023-05-30
759924,2024-10-23,Female,39,London,UK,Organic Search,Mobile,At Risk,16,3064.99,2024-11-14
858790,2025-05-26,Female,86,Berlin,Germany,Paid Search,Mobile,At Risk,11,8984.07,2025-09-05
410787,2025-09-18,Prefer not to say,52,Berlin,Germany,Social Media,Desktop,New,19,2663.23,2026-07-03
226762,2021-02-14,male,54,Toronto,Canada,Email,Mobile,Returning,6,7682.65,2021-09-23
879245,2021-03-11,FEMALE,72,New York,USA,Direct, Desktop,Returning,5,7896.08,2022-06-30
448856,2022-04-15,Male,64,Istanbul,Türkiye,Direct,Desktop,Returning,8,1566.8,2023-06-03
856531,2024-12-14,Prefer not to say,31,Toronto,Canada,Email,Tablet,VIP,24,7934.4,2025-09-06
845738,2022-08-20,Female,34,New York,USA,Email,mobile,At Risk,0,1335.16,2024-01-02
625126,2025-10-22,FEMALE,30,Madrid,Spain,Paid Search, Desktop,VIP,3,2503.37,2026-07-01
542611,2023-10-04,Male,40,Toronto,Canada,Referral, Desktop,At Risk,13,4015.29,2024-07-24
632380,2023-05-14,,21,New York,USA,Email,Desktop,New,9,3898.57,2024-07-15
970355,2023-05-31,Male,43,Madrid,Spain,Social Media,mobile,VIP,16,8302.29,2024-04-21
802866,2021-08-07,,37,Madrid,Spain,Social Media,Mobile,VIP,14,2663.88,2022-01-20
299071,2021-07-13,Female,28,New York,USA,Organic Search,mobile,At Risk,23,1316.86,2021-12-05
418104,2025-04-19,Prefer not to say,80,Paris,France,Email,Mobile,Loyal,19,858.74,2026-01-30
397962,2024-10-09,Prefer not to say,28,Madrid,Spain,Direct,Mobile,New,2,8281.16,2024-10-29
716122,2024-04-12,Non-binary,57,Istanbul,Türkiye,Social Media,Tablet,VIP,24,1727.89,2024-09-16
623619,2024-07-09,male,49,Rome,Italy,Paid Search,Desktop,VIP,9,8317.89,2025-01-06
987302,2022-10-24,Non-binary,18,Toronto,Canada,Referral,Desktop,Returning,7,8613.32,2023-10-24
629828,2021-06-23,Prefer not to say,43,Berlin,Germany,Social Media, Desktop,New,10,3873.02,2021-11-02
512461,2024-12-15,Female,22,Toronto,Canada,Email,Mobile,VIP,24,2213.77,2025-04-02
717613,2024-07-29,male,75,Rome,Italy,Organic Search,Mobile,Returning,3,5245.32,2024-12-24
994737,2025-01-03,male,76,London,UK,Email,mobile,At Risk,3,1938.25,2026-03-02
136202,2022-05-14,Female,84,Madrid,Spain,Direct,Tablet,VIP,9,494.3,2022-10-18
603554,2025-11-26,FEMALE,74,London,UK,Organic Search,Tablet,Loyal,21,3056.19,2025-12-01
354531,2022-05-21,,32,Paris,France,Paid Search,Desktop,At Risk,19,6866.7,2023-04-30
879858,2024-09-30,Male,74,London,UK,Email,Desktop,At Risk,0,2255.23,2026-02-10
936138,2021-05-09,,35,Rome,Italy,Social Media, Desktop,VIP,6,3995.97,2021-05-17
523926,2024-01-19,Non-binary,51,New York,USA,Social Media, Desktop,At Risk,14,2803.87,2024-06-10
534439,2022-01-04,Prefer not to say,68,Berlin,Germany,Social Media,Mobile,At Risk,1,8465.32,2023-01-27
