order_id,customer_id,order_date,category,brand,quantity,unit_price,discount,shipping_fee,total_amount,payment_method,order_status,review_score,returned
3900737,240891,2025-09-24,,Wilson,1,796.45,15.0,11.45,688.43,Bank Transfer,Shipped,5.0,No
5507501,696853,2023-09-05,,HP,4,900.75,,4.48,3607.48,Card,Returned,,Y
4412700,988598,2021-08-04,,Adidas,3,865.24,5.0,11.08,2477.01,Bank Transfer,Delivered,5.0,
6544710,941235,2023-07-25,,Apple,2,667.31,0.0,17.65,1352.27,Google Pay,Delivered,3.0,
7551016,900875,2021-10-25,,Lego,2,774.14,,17.62,,Card,Processing,5.0,N
8229355,166172,2025-10-22,,Penguin,4,583.95,,9.26,2345.06,Card,Delivered,1.0,
5535371,367459,2023-02-17,,Lego,2,11.46,10.0,17.51,38.14,Card,Shipped,1.0,N
3895026,223646,2024-08-12,,L'Oreal,1,809.83,0.0,16.39,826.22,Apple Pay,Returned,4.0,
4150637,619501,2023-12-05,,IKEA,3,740.62,10.0,6.94,2006.61,Bank Transfer,Delivered,,Yes
7748204,897926,2024-08-30,,Zara,2,237.62,,19.99,495.23,Card,Shipped,3.0,Yes
4094418,571325,2024-08-17,,Sony,1,991.36,15.0,14.54,857.2,Apple Pay,Delivered,3.0,
1541972,595185,2023-03-11,,Samsung,4,179.41,15.0,2.29,612.28,PayPal,Delivered,4.0,Y
3028905,783244,2024-05-13,,Sony,1,174.31,5.0,23.78,189.37,Bank Transfer,Delivered,,No
7908586,498055,2026-04-09,,Samsung,1,85.83,20.0,15.69,84.35,Card,Delivered,4.0,No
3346583,927036,2023-04-01,,Nestle,1,87.37,15.0,11.7,85.96,Google Pay,Shipped,1.0,Yes
2125311,320153,2024-04-04,,Samsung,3,934.28,0.0,12.7,2815.54,PayPal,Delivered,5.0,
3587605,198418,2026-01-15,,Wilson,3,489.83,5.0,13.28,1409.3,Card,Delivered,4.0,N
1787413,611554,2024-07-09,,Philips,5,402.65,20.0,14.16,1624.76,Card,Processing,4.0,N
3326530,129724,2023-01-05,,Nivea,3,422.97,15.0,8.99,1087.56,Google Pay,Returned,1.0,Y
7122764,976363,2024-01-13,,Samsung,4,637.78,10.0,22.87,2318.88,Apple Pay,Returned,5.0,
2095068,508744,2023-06-13,,Penguin,2,755.03,5.0,2.73,1437.29,Card,Cancelled,2.0,N
4585135,553789,2025-06-03,,Lego,4,934.84,5.0,22.71,3575.1,Card,Processing,,
9270301,736944,2023-06-03,,Nivea,2,386.78,10.0,10.68,706.88,Bank Transfer,Delivered,4.0,
1746164,899308,2022-02-07,,Penguin,2,532.02,20.0,15.99,867.22,Apple Pay,Returned,2.0,N
2212977,904423,2023-08-16,,Zara,1,861.28,0.0,4.15,865.43,PayPal,Shipped,5.0,Yes
4994115,102208,2025-09-23,,Nike,3,66.3,,22.38,221.28,PayPal,Delivered,2.0,
